aid
13
13
13
13
13
13
13
14
14
15
17
19
20
21
23
26
27
28
29
29
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
51
51
52
53
54
55
56
57
57
57
58
59
60
61
62
62
63
64
65
67
70
72

